algorithm,exact_variant,implementation,version_or_binding,production_status,active_or_relevant_call_paths,benchmark_scope,notes
ML-DSA-65,FIPS-204 ML-DSA-65,aegis-pqvm in-tree native clean implementation,aegis-pqvm 0.1.0; runtime feature mldsa,DEPLOYED_CURRENT,"coordinated assignment; producer block; coordinator commit; validator P2P; Aegis typed transaction option",MEASURED,"Consensus domains enforce ML-DSA-65. Optional Aegis NEON feature is not enabled."
ML-DSA-87,FIPS-204 ML-DSA-87,aegis-pqvm in-tree native clean implementation,aegis-pqvm 0.1.0; runtime feature mldsa,DEPLOYED_CURRENT,"public account transaction admission; account and authority identities",MEASURED,"Legacy/public transaction admission rejects non-ML-DSA-87 user signatures."
FN-DSA-1024,FN-DSA-1024 API over Falcon-1024 compatibility symbols,aegis-pqvm in-tree falcon-1024 clean C sources,aegis-pqvm 0.1.0; runtime feature fndsa,DEPLOYED_CURRENT,"non-validator support-node P2P identity; provisioned primary identities",MEASURED,"Variable-length detached signatures. Source symbols are compatibility exports over Falcon-1024 sources."
SLH-DSA,SPHINCS+-SHAKE-128f-simple,pqcrypto-sphincsplus crate,0.7.2,EXPOSED_NOT_CURRENT,"PQCManager capability only",MEASURED,"Not accepted by Aegis domain parser and not a current Chain 1266 call path."
ML-KEM-1024,ML-KEM-1024,pqcrypto-mlkem crate,0.1.1,ARCHITECTURALLY_RELEVANT,"PQCManager; wallet sealed material; ETDAG protected input source",MEASURED,"Current coordinated-P1 live use was not assumed from source presence alone."
HQC-256,HQC-256,pqcrypto-hqc crate,0.2.2,EXPOSED_NOT_CURRENT,"PQCManager and AIVM interoperability surface",MEASURED,"Malformed-ciphertext smoke produced a caught library panic; valid KEM operations passed."
ML-KEM-768,ML-KEM-768,identity-policy provisioned entropy-contribution keys,workbook identity policy,PROVISIONED_POLICY,"node entropy contribution identity role",NOT_MEASURED,"Distinct from runtime PQCManager ML-KEM-1024; no equivalent result is substituted."
ML-DSA-44,ML-DSA-44,aegis-pqvm library source,aegis-pqvm 0.1.0,LIBRARY_ONLY,"no runtime PQCManager variant or production call path",NOT_MEASURED,"Excluded from current-runtime headline results."
ML-KEM-512,ML-KEM-512,aegis-pqvm library source,aegis-pqvm 0.1.0,LIBRARY_ONLY,"no runtime PQCManager variant or production call path",NOT_MEASURED,"Excluded from current-runtime headline results."
ML-KEM-768,ML-KEM-768,aegis-pqvm library source,aegis-pqvm 0.1.0,LIBRARY_ONLY,"no runtime PQCManager variant or production call path",NOT_MEASURED,"Library row is separate from the identity-policy row."
FN-DSA-512,FN-DSA-512,aegis-pqvm library source,aegis-pqvm 0.1.0,LIBRARY_ONLY,"no runtime PQCManager variant or production call path",NOT_MEASURED,"Excluded from current-runtime headline results."

